iter	Passed	Remaining
0	203	40520
1	334	33075
2	501	32916
3	623	30527
4	810	31600
5	1061	34335
6	1197	33019
7	1339	32155
8	1475	31322
9	1622	30829
10	1741	29919
11	1878	29430
12	2002	28804
13	2121	28187
14	2253	27793
15	2361	27157
16	2486	26768
17	2600	26294
18	2715	25865
19	2848	25637
20	2982	25423
21	3132	25344
22	3272	25183
23	3397	24918
24	3543	24801
25	3660	24494
26	3797	24333
27	3928	24132
28	4033	23783
29	4160	23575
30	4296	23425
31	4424	23230
32	4556	23060
33	4669	22799
34	4774	22506
35	4908	22362
36	5055	22269
37	5172	22052
38	5304	21898
39	5431	21724
40	5564	21581
41	5676	21354
42	5808	21206
43	5918	20982
44	6062	20881
45	6184	20706
46	6313	20553
47	6443	20404
48	6575	20263
49	6700	20100
50	6819	19922
51	6939	19752
52	7055	19568
53	7166	19374
54	7301	19249
55	7432	19111
56	7560	18967
57	7688	18822
58	7792	18622
59	7898	18430
60	8013	18259
61	8128	18091
62	8273	17990
63	8390	17829
64	8500	17655
65	8628	17518
66	8791	17451
67	8890	17257
68	9036	17156
69	9174	17037
70	9300	16897
71	9416	16740
72	9527	16575
73	9639	16413
74	9748	16247
75	9875	16113
76	10018	16004
77	10128	15842
78	10235	15676
79	10347	15520
80	10475	15390
81	10615	15275
82	10726	15120
83	10821	14944
84	10962	14832
85	11073	14679
86	11185	14527
87	11307	14391
88	11438	14265
89	11565	14135
90	11704	14019
91	11830	13888
92	11964	13765
93	12114	13661
94	12210	13496
95	12344	13373
96	12478	13250
97	12597	13111
98	12725	12982
99	12829	12829
100	12973	12716
101	13092	12578
102	13234	12463
103	13393	12363
104	13523	12235
105	13649	12104
106	13775	11973
107	13906	11846
108	14043	11724
109	14153	11580
110	14284	11453
111	14398	11312
112	14524	11182
113	14636	11041
114	14757	10907
115	14888	10781
116	15018	10654
117	15137	10519
118	15256	10384
