https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDP,tradecount
1664409600000,2022-09-29,BTCUSDP,19432.67,19560.26,19416.56,19435.03,0.95226,18521.370418,11
1664323200000,2022-09-28,BTCUSDP,19183.75,19729.31,18276.23,19440.0,13.21401,256087.6773704,134
1664236800000,2022-09-27,BTCUSDP,19342.3,20362.44,18000.0,19018.36,2.99983,58654.6574235,130
1664150400000,2022-09-26,BTCUSDP,18898.44,19311.44,18684.41,19136.42,2.34697,44781.5430219,53
1664064000000,2022-09-25,BTCUSDP,18977.69,19144.22,18762.65,18783.18,3.32607,62952.0828338,85
1663977600000,2022-09-24,BTCUSDP,19266.12,19266.12,18459.03,18907.5,0.95863,18220.2525203,68
1663891200000,2022-09-23,BTCUSDP,19423.1,19423.1,18583.01,19227.19,7.5997,143788.059939,133
1663804800000,2022-09-22,BTCUSDP,18465.87,19469.58,18465.87,19346.08,8.18154,154047.1116902,271
1663718400000,2022-09-21,BTCUSDP,19026.35,20066.13,18209.76,18511.81,4.38663,85148.9855811,185
1663632000000,2022-09-20,BTCUSDP,19611.28,19611.28,18509.36,18829.18,3.93416,75156.6863761,94
1663545600000,2022-09-19,BTCUSDP,19504.19,19649.5,18267.82,19649.5,4.89882,93456.8058508,100
1663459200000,2022-09-18,BTCUSDP,20009.63,20074.56,19370.99,19388.05,3.85299,75866.1265896,92
1663372800000,2022-09-17,BTCUSDP,19814.71,20139.4,19814.71,20025.44,0.7495,14962.5402369,56
1663286400000,2022-09-16,BTCUSDP,19741.72,19819.12,19371.28,19706.19,1.73817,33996.5446107,44
1663200000000,2022-09-15,BTCUSDP,20195.41,20195.41,19637.23,19706.87,5.74147,114483.7462599,188
1663113600000,2022-09-14,BTCUSDP,20142.6,20501.04,18984.5,20322.05,2.80526,56482.8111262,205
1663027200000,2022-09-13,BTCUSDP,22382.82,22755.54,20074.22,20189.06,16.0482,341371.8227825,390
1662940800000,2022-09-12,BTCUSDP,21778.8,22450.9,21069.42,22365.28,28.03205,611876.1627952,461
1662854400000,2022-09-11,BTCUSDP,21594.82,21809.37,21386.83,21809.37,2.49291,53903.226993,74
1662768000000,2022-09-10,BTCUSDP,21372.86,21773.28,21160.61,21702.82,4.25845,91231.1978318,159
1662681600000,2022-09-09,BTCUSDP,19373.11,21503.53,19335.07,21295.2,35.58429,744460.3413446,458
1662595200000,2022-09-08,BTCUSDP,19331.2,19415.8,18500.0,19344.69,2.51306,48428.4519186,159
1662508800000,2022-09-07,BTCUSDP,18823.41,19442.09,18601.94,19355.74,10.16214,191411.6091186,286
1662422400000,2022-09-06,BTCUSDP,19788.5,20120.0,18500.04,18811.36,35.22471,685090.5762,584
1662336000000,2022-09-05,BTCUSDP,20060.59,20060.59,19650.0,19786.52,8.74931,172481.8206406,182
1662249600000,2022-09-04,BTCUSDP,19854.35,19976.78,19653.62,19945.54,1.87466,37124.1535412,155
1662163200000,2022-09-03,BTCUSDP,19987.67,20025.21,19676.97,19776.92,4.46238,88621.9891238,120
1662076800000,2022-09-02,BTCUSDP,20102.43,20400.0,19595.27,19966.35,9.36726,189778.9254812,199
1661990400000,2022-09-01,BTCUSDP,19372.82,20145.52,19050.0,20126.79,6.59027,131101.1213922,241
1661904000000,2022-08-31,BTCUSDP,19802.31,20432.71,19802.31,20017.22,6.22362,125721.6064288,198
1661817600000,2022-08-30,BTCUSDP,20263.09,20531.97,19586.84,19779.59,8.23884,166912.7636648,368
1661731200000,2022-08-29,BTCUSDP,19582.87,20340.78,19559.85,20297.02,3.31045,66205.0963736,132
1661644800000,2022-08-28,BTCUSDP,19999.93,20108.24,19555.56,19555.56,2.46859,49276.4774903,117
1661558400000,2022-08-27,BTCUSDP,20222.11,20342.57,19807.27,20056.07,5.65733,113378.8753656,151
