Nombre de trous : 11206
Timestamps des débuts de trous :
2018-12-12 08:57:00+00:00 (écart : 0 days 00:02:00)
2018-12-12 15:37:00+00:00 (écart : 0 days 00:02:00)
2018-12-13 02:15:00+00:00 (écart : 0 days 09:50:00)
2018-12-13 07:12:00+00:00 (écart : 0 days 00:02:00)
2018-12-13 10:11:00+00:00 (écart : 0 days 00:07:00)
2018-12-13 13:21:00+00:00 (écart : 0 days 01:01:00)
2018-12-13 15:53:00+00:00 (écart : 0 days 02:31:00)
2018-12-13 19:40:00+00:00 (écart : 0 days 00:04:00)
2018-12-17 00:00:00+00:00 (écart : 3 days 02:38:00)
2018-12-17 04:17:00+00:00 (écart : 0 days 00:02:00)
2018-12-17 06:58:00+00:00 (écart : 0 days 00:02:00)
2018-12-17 10:50:00+00:00 (écart : 0 days 00:02:00)
2018-12-24 00:00:00+00:00 (écart : 6 days 10:48:00)
2018-12-24 00:10:00+00:00 (écart : 0 days 00:02:00)
2018-12-24 17:00:00+00:00 (écart : 0 days 15:20:00)
2018-12-24 20:11:00+00:00 (écart : 0 days 03:10:00)
2018-12-24 20:39:00+00:00 (écart : 0 days 00:05:00)
2018-12-25 00:15:00+00:00 (écart : 0 days 00:02:00)
2018-12-31 00:00:00+00:00 (écart : 5 days 22:40:00)
2018-12-31 00:05:00+00:00 (écart : 0 days 00:02:00)
2018-12-31 02:31:00+00:00 (écart : 0 days 00:02:00)
2018-12-31 02:46:00+00:00 (écart : 0 days 00:02:00)
2018-12-31 03:45:00+00:00 (écart : 0 days 00:10:00)
2018-12-31 05:54:00+00:00 (écart : 0 days 00:02:00)
2018-12-31 06:28:00+00:00 (écart : 0 days 00:02:00)
2018-12-31 06:42:00+00:00 (écart : 0 days 00:03:00)
2018-12-31 06:54:00+00:00 (écart : 0 days 00:02:00)
2018-12-31 07:09:00+00:00 (écart : 0 days 00:03:00)
2018-12-31 07:13:00+00:00 (écart : 0 days 00:04:00)
2018-12-31 07:15:00+00:00 (écart : 0 days 00:02:00)
2018-12-31 07:34:00+00:00 (écart : 0 days 00:02:00)
2018-12-31 07:54:00+00:00 (écart : 0 days 00:05:00)
2018-12-31 08:07:00+00:00 (écart : 0 days 00:02:00)
2018-12-31 08:42:00+00:00 (écart : 0 days 00:02:00)
2018-12-31 08:55:00+00:00 (écart : 0 days 00:02:00)
2018-12-31 09:16:00+00:00 (écart : 0 days 00:02:00)
2018-12-31 09:19:00+00:00 (écart : 0 days 00:02:00)
2018-12-31 09:23:00+00:00 (écart : 0 days 00:02:00)
2018-12-31 10:35:00+00:00 (écart : 0 days 00:02:00)
2018-12-31 14:51:00+00:00 (écart : 0 days 03:42:00)
2018-12-31 15:05:00+00:00 (écart : 0 days 00:02:00)
2019-01-01 23:19:00+00:00 (écart : 1 days 07:18:00)
2019-01-02 00:39:00+00:00 (écart : 0 days 01:20:00)
2019-01-02 03:28:00+00:00 (écart : 0 days 00:04:00)
2019-01-02 03:55:00+00:00 (écart : 0 days 00:02:00)
2019-01-02 05:54:00+00:00 (écart : 0 days 00:02:00)
2019-01-02 05:56:00+00:00 (écart : 0 days 00:02:00)
2019-01-02 06:37:00+00:00 (écart : 0 days 00:02:00)
2019-01-02 06:47:00+00:00 (écart : 0 days 00:07:00)
2019-01-02 08:45:00+00:00 (écart : 0 days 00:02:00)
2019-01-02 08:51:00+00:00 (écart : 0 days 00:02:00)
2019-01-02 08:55:00+00:00 (écart : 0 days 00:02:00)
2019-01-02 09:34:00+00:00 (écart : 0 days 00:02:00)
2019-01-02 09:59:00+00:00 (écart : 0 days 00:06:00)
2019-01-02 10:16:00+00:00 (écart : 0 days 00:02:00)
2019-01-02 10:29:00+00:00 (écart : 0 days 00:04:00)
2019-01-02 10:32:00+00:00 (écart : 0 days 00:03:00)
2019-01-02 12:09:00+00:00 (écart : 0 days 00:02:00)
2019-01-02 12:14:00+00:00 (écart : 0 days 00:02:00)
2019-01-02 13:47:00+00:00 (écart : 0 days 00:02:00)
2019-01-02 15:27:00+00:00 (écart : 0 days 00:02:00)
2019-01-02 15:29:00+00:00 (écart : 0 days 00:02:00)
2019-01-02 16:39:00+00:00 (écart : 0 days 00:02:00)
2019-01-02 17:27:00+00:00 (écart : 0 days 00:03:00)
2019-01-02 18:55:00+00:00 (écart : 0 days 00:02:00)
2019-01-02 20:35:00+00:00 (écart : 0 days 00:03:00)
2019-01-02 20:46:00+00:00 (écart : 0 days 00:02:00)
2019-01-02 22:32:00+00:00 (écart : 0 days 00:02:00)
2019-01-02 22:49:00+00:00 (écart : 0 days 00:02:00)
