[2025-12-14 12:59:11,757][INFO] [UI] Mot de passe accepté, worker initialisé.
[2025-12-14 12:59:11,851][INFO] [INFO] Serveur MT5 REST lancé automatiquement (Windows, console visible).
[2025-12-14 12:59:11,866][INFO] [Worker] Initialisation des modules métier...
[2025-12-14 12:59:15,928][INFO] [Worker] Erreur chargement modèle ML : Fichier modèle absent : model_rf.pkl_model.cbm. Fallback sur stratégie algo projet.
[2025-12-14 12:59:15,928][INFO] [Worker] Boucle de trading démarrée.
[2025-12-14 13:13:01,177][INFO] [UI] Mot de passe accepté, worker initialisé.
[2025-12-14 13:13:01,255][INFO] [INFO] Serveur MT5 REST lancé automatiquement (Windows, console visible).
[2025-12-14 13:13:01,271][INFO] [Worker] Initialisation des modules métier...
[2025-12-14 13:13:05,397][INFO] [Worker] Erreur chargement modèle ML : Fichier modèle absent : model_rf.pkl_model.cbm. Fallback sur stratégie algo projet.
[2025-12-14 13:13:05,397][INFO] [Worker] Boucle de trading démarrée.
[2025-12-14 13:32:20,791][INFO] [UI] Mot de passe accepté, worker initialisé.
[2025-12-14 13:32:22,950][INFO] [INFO] Serveur MT5 REST lancé automatiquement (Windows, console visible).
[2025-12-14 13:32:22,965][INFO] [Worker] Initialisation des modules métier...
[2025-12-14 13:32:24,905][INFO] [Worker] Erreur chargement modèle ML : Fichier modèle absent : model_rf.pkl_model.cbm. Fallback sur stratégie algo projet.
[2025-12-14 13:32:24,905][INFO] [Worker] Boucle de trading démarrée.
[2025-12-14 13:42:14,534][INFO] [UI] Mot de passe accepté, worker initialisé.
[2025-12-14 13:42:14,601][INFO] [INFO] Port 8000 déjà utilisé, lancement automatique du serveur MT5 REST ignoré.
[2025-12-14 13:42:14,616][INFO] [Worker] Initialisation des modules métier...
[2025-12-14 13:42:18,653][INFO] [Worker] Erreur chargement modèle ML : Fichier modèle absent : model_rf.pkl_model.cbm. Fallback sur stratégie algo projet.
[2025-12-14 13:42:18,653][INFO] [Worker] Boucle de trading démarrée.
[2025-12-14 13:43:24,380][INFO] [UI] Features calculées.
[2025-12-14 13:43:24,380][INFO] [UI] Signal de trading : hold
[2025-12-14 13:43:24,395][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:43:36,776][INFO] [UI] Features calculées.
